text,Reference,GT,f768407035,f821282878,f831930970
and then he told all about his youth and the little mice had never heard the like before and they listened and said,test_samples/f768407035/ref_14.flac,test_samples/f768407035/gt_14.flac,test_samples/f768407035/sample_14.flac,test_samples/f821282878/sample_14.flac,test_samples/f831930970/sample_14.flac
beth was a beautiful girl the handsomest of the three cousins by far yet eliza surpassed her in natural charm and seemed well aware of the fact,test_samples/f768407035/ref_22.flac,test_samples/f768407035/gt_22.flac,test_samples/f768407035/sample_22.flac,test_samples/f821282878/sample_22.flac,test_samples/f831930970/sample_22.flac
cyril there must be some better way of doing i just draw the outline of an animal and then i put hairs or feathers on it they have no bodies,test_samples/f768407035/ref_20.flac,test_samples/f768407035/gt_20.flac,test_samples/f768407035/sample_20.flac,test_samples/f821282878/sample_20.flac,test_samples/f831930970/sample_20.flac
disdainful of a success of which madame showed no acknowledgement he thought of nothing but boldly regaining the marked preference of the princess,test_samples/f768407035/ref_9.flac,test_samples/f768407035/gt_9.flac,test_samples/f768407035/sample_9.flac,test_samples/f821282878/sample_9.flac,test_samples/f831930970/sample_9.flac
gold is the most common metal in the land of oz and is used for many purposes because it is soft and pliable,test_samples/f768407035/ref_8.flac,test_samples/f768407035/gt_8.flac,test_samples/f768407035/sample_8.flac,test_samples/f821282878/sample_8.flac,test_samples/f831930970/sample_8.flac
he detested the grasping disposition that would endeavor to take advantage of his evident desire to help young gates,test_samples/f768407035/ref_17.flac,test_samples/f768407035/gt_17.flac,test_samples/f768407035/sample_17.flac,test_samples/f821282878/sample_17.flac,test_samples/f831930970/sample_17.flac
he was a fanatic on formality and he only addressed me in the third person to the point where it got tiresome,test_samples/f768407035/ref_16.flac,test_samples/f768407035/gt_16.flac,test_samples/f768407035/sample_16.flac,test_samples/f821282878/sample_16.flac,test_samples/f831930970/sample_16.flac
her hair is still like flax and her blue eyes are just like a baby's and she has the same three freckles on her little nose and talks about going back to her bains de mer,test_samples/f768407035/ref_7.flac,test_samples/f768407035/gt_7.flac,test_samples/f768407035/sample_7.flac,test_samples/f821282878/sample_7.flac,test_samples/f831930970/sample_7.flac
her manner was neither independent nor assertive but rather one of well bred composure and calm reliance,test_samples/f768407035/ref_6.flac,test_samples/f768407035/gt_6.flac,test_samples/f768407035/sample_6.flac,test_samples/f821282878/sample_6.flac,test_samples/f831930970/sample_6.flac
it is evident therefore that the present trend of the development is in the direction of heightening the utility of conspicuous consumption as compared with leisure,test_samples/f768407035/ref_5.flac,test_samples/f768407035/gt_5.flac,test_samples/f768407035/sample_5.flac,test_samples/f821282878/sample_5.flac,test_samples/f831930970/sample_5.flac
